no birthday on article	2nd July 1980	Ophelia	Carol Royle	Director:John Barton
25 May 1939	24th August 1989	Iago	Ian McKellen	Director:Trevor Nunn
no birthday on article	21st April 1934	Romeo	John Wyse	Director:W Bridges-Adams
13 June 1892	13th August 1915	Romeo	Basil Rathbone	Director:F R Benson
30 July 1944	17th November 1979	Hamlet	Frances de la Tour	Director:Robert Walker
19 June 1929	7th March 1959	Ophelia	Thelma Barlow	Director:Bernard Hepton
no birthday on article	26th September 1970	Desdemona	Roberta Maxwell	Director:Michael Kahn
person not found on wiki	13th August 1915	Juliet	Dorothie Pidcock	Director:F R Benson
26 February 1864	27th April 1905	Juliet	Constance Benson	Director:F R Benson
28 May 1910	21st April 1934	Juliet	Rachel Kempson	Director:W Bridges-Adams
7 June 1943	2nd July 1980	Hamlet	Michael Pennington	Director:John Barton
person not found on wiki	18th March 1993	Ophelia	Joanne Pearce	Director:Adrian Noble
October 2, 1929	26th September 1970	Othello	Moses Gunn	Director:Michael Kahn
no birthday on article	6th October 1913	Ophelia	Dorothy Green	Director:unknown
20 February 1961	24th August 1989	Desdemona	Imogen Stubbs	Director:Trevor Nunn
20 December 1959	24th November 2007	Iago	Sean Campion	Director:Raz Shaw
13 January 1964	15th July 2000	Ophelia	Cathryn Bradshaw	Director:John Caird
person not found on wiki	26th July 1911	Romeo	Murray Carrington	Director:F R Benson
person not found on wiki	6th October 1913	Hamlet	F R Benson	Director:unknown
7 April 1934	7th March 1959	Hamlet	Ian Richardson	Director:Bernard Hepton
14 June 1949	15th April 2004	Iago	Antony Sher	Director:Gregory Doran
10 October 1946	24th August 1989	Othello	Willard White	Director:Trevor Nunn
9 January 2012	24th November 2007	Desdemona	Sinead Keenan	Director:Raz Shaw
27 January 1965	18th September 1993	Hamlet	Alan Cumming	Director:Stephen Unwin
22 January 1878	26th July 1911	Juliet	Constance Collier	Director:F R Benson
28 October 1913	16th April 1936	Romeo	Peter Glenville	Director:Randle Ayrton
no birthday on article	17th September 1981	Ophelia	Carol Royle	Director:John Barton
person not found on wiki	30th May 2009	Iago	Richard Kidd	Director:Charlotte Conquest
no birthday on article	15th April 2004	Desdemona	Lisa Dillon	Director:Gregory Doran
person not found on wiki	29th April 2006	Iago	Wolfgang Pregler	Director:Luk Perceval
25 March 1965	24th November 2007	Othello	Nick Monu	Director:Raz Shaw
no birthday on article	16th April 1936	Juliet	Pamela Brown	Director:Randle Ayrton
person not found on wiki	30th May 2009	Desdemona	Ffion Jolly	Director:Charlotte Conquest
1977	14th October 2006	Romeo	Rupert Evans	Director:Nancy Meckler
no birthday on article	7th June 1945	Romeo	David Peel	Director:Robert Atkins
no birthday on article	15th April 2004	Othello	Sello Maake Ka-Ncube	Director:Gregory Doran
no birthday on article	30th May 2009	Othello	Victor Power	Director:Charlotte Conquest
10 August 1914	29th May 1956	Desdemona	Margaret Johnston	Director:Glen Byam Shaw
12 October 1937	6th March 1967	Romeo	Gawn Grainger	Director:Val May
20 February 1978	29th April 2006	Desdemona	Julia Jentsch	Director:Luk Perceval
1 September 1981	14th October 2006	Juliet	Morven Christie	Director:Nancy Meckler
12 January 1961	15th July 2000	Hamlet	Simon Russell Beale	Director:John Caird
5 June 1919	5th April 1947	Romeo	Laurence Payne	Director:Peter Brook
29 October 1948	29th April 2006	Othello	Thomas Thieme	Director:Luk Perceval
6 August 1923	7th June 1945	Juliet	Moira Lister	Director:Robert Atkins
no birthday on article	unknown opening	Iago	David Calder	Director:David Thacker
9 May 1936	22nd November 1976	Hamlet	Albert Finney	Director:Peter Hall
person not found on wiki	27th July 2013	Romeo	Boris Mitkov	Director:unknown
10 November 1911	29th May 1956	Othello	Harry Andrews	Director:Glen Byam Shaw
3 March 1928	5th April 1947	Juliet	Daphne Slater	Director:Peter Brook
10 December 1960	18th March 1993	Hamlet	Kenneth Branagh	Director:Adrian Noble
6 August 1926	unknown opening	Iago	Frank Finlay	Director:John Dexter
no birthday on article	unknown opening	Desdemona	Kate Fahy	Director:David Thacker
person not found on wiki	27th July 2013	Juliet	Loren O’Brien	Director:unknown
26 February 1864	16th April 1898	Ophelia	Constance Benson	Director:F R Benson
no birthday on article	2nd December 1971	Romeo	Richard Kay	Director:Peter James
19 June 1957	28th August 1991	Romeo	Michael Maloney	Director:David Leveaux
person not found on wiki	16th April 1898	Hamlet	F R Benson	Director:F R Benson
5 April 1946	6th March 1967	Juliet	Jane Asher	Director:Val May
person not found on wiki	2nd December 1971	Juliet	Louise Purnell	Director:Peter James
27 October 1953	unknown opening	Romeo	Peter Firth	Director:Bill Bryden
28 September 1939	unknown opening	Othello	Rudolph Walker	Director:David Thacker
person not found on wiki	25th August 1913	Romeo	Murray Carrington	Director:F R Benson
21 August 1879	30th April 1908	Romeo	Henry Ainley	Director:F R Benson
no birthday on article	22nd February 2003	Iago	Christopher Middleton	Director:Christopher Fettes
person not found on wiki	unknown opening	Juliet	Veronica Quilligan	Director:Bill Bryden
12 January 1964	28th August 1991	Juliet	Clare Holman	Director:David Leveaux
person not found on wiki	18th September 1993	Ophelia	Hilary Lyon	Director:Stephen Unwin
no birthday on article	25th August 1913	Juliet	Dorothy Green	Director:F R Benson
no birthday on article	7th July 1930	Iago	George Hayes	Director:W Bridges-Adams
no birthday on article	22nd February 2003	Desdemona	Mandana Jones	Director:Christopher Fettes
no birthday on article	7th March 2009	Iago	Michael Gould	Director:Kathryn Hunter
22 January 1878	30th April 1908	Juliet	Constance Collier	Director:F R Benson
person not found on wiki	22nd February 2003	Othello	Ricky Fearon	Director:Christopher Fettes
10 May 1906	7th July 1930	Desdemona	Joyce Bland	Director:W Bridges-Adams
no birthday on article	unknown opening	Romeo	Clarence Smith	Director:Andrew Hay
24 October 1967	30th June 1994	Ophelia	Jacqueline McKenzie	Director:Neil Armfield
17 April 1959	14th April 1987	Romeo	Sean Bean	Director:Michael Bogdanov
person not found on wiki	7th July 1930	Othello	Wilfrid Walter	Director:W Bridges-Adams
1 November 1984	7th March 2009	Desdemona	Natalia Tena	Director:Kathryn Hunter
person not found on wiki	7th March 2009	Othello	Patrice Naiambana	Director:Kathryn Hunter
20 October 1959	14th April 1987	Juliet	Niamh Cusack	Director:Michael Bogdanov
19 May 1967	unknown opening	Juliet	Geraldine Somerville	Director:Andrew Hay
14 June 1949	17th July 2004	Iago	Antony Sher	Director:Gregory Doran
no birthday on article	1st June 1974	Romeo	Martin Connor	Director:Ian Mullins
23 January 1962	30th June 1994	Hamlet	Richard Roxburgh	Director:Neil Armfield
27 January 1965	18th September 1993	Hamlet	Alan Cumming	Director:Stephen Unwin
no birthday on article	10th March 1981	Ophelia	Carol Royle	Director:John Barton
12 September 1931	13th September 1967	Romeo	Ian Holm	Director:Karolos Koun
28 November 1948	1st June 1974	Juliet	Sammie Winmill	Director:Ian Mullins
13 June 1892	20th April 1915	Romeo	Basil Rathbone	Director:F R Benson
person not found on wiki	28th April 1886	Iago	Mr Thalberg	Director:F R Benson
person not found on wiki	20th April 1915	Juliet	Dorothie Pidcock	Director:F R Benson
28 March 1940	13th September 1967	Juliet	Estelle Kohler	Director:Karolos Koun
no birthday on article	17th July 2004	Desdemona	Lisa Dillon	Director:Gregory Doran
no birthday on article	12th December 1958	Romeo	Richard Johnson	Director:Glen Byam Shaw
8 October 1908	28th April 1886	Desdemona	Ethel Johnson	Director:F R Benson
7 June 1943	10th March 1981	Hamlet	Michael Pennington	Director:John Barton
person not found on wiki	18th September 1993	Ophelia	Hilary Lyon	Director:Stephen Unwin
person not found on wiki	15th July 1961	Iago	William Shust	Director:Nikos Psacharopoulos
person not found on wiki	28th April 1886	Othello	F R Benson	Director:F R Benson
no birthday on article	17th July 2004	Othello	Sello Maake Ka-Ncube	Director:Gregory Doran
person not found on wiki	15th August 1914	Romeo	Murray Carrington	Director:F R Benson
person not found on wiki	15th July 1961	Desdemona	Judy Farnk	Director:Nikos Psacharopoulos
person not found on wiki	18th September 1993	Ophelia	Hilary Lyon	Director:Stephen Unwin
no birthday on article	15th August 1914	Juliet	Dorothy Green	Director:F R Benson
8 April 1930	12th December 1958	Juliet	Dorothy Tutin	Director:Glen Byam Shaw
person not found on wiki	15th July 1961	Othello	Don Gunderson	Director:Nikos Psacharopoulos
28 December 1934	unknown opening	Desdemona	Maggie Smith	Director:John Dexter
November 7, 1942	9th September 2006	Macbeth	Tom Peters	Director:Gareth Machin
17 April 1959	21st February 1987	Romeo	Sean Bean	Director:Michael Bogdanov
no birthday on article	25th February 1985	Romeo	Simon Templeman	Director:John Caird
18 April 1971	5th July 2000	Romeo	David Tennant	Director:Michael Boyd
23 August 1945	14th August 1980	Iago	Bob Peck	Director:Ronald Eyre
7 June 1909	14th November 1934	Ophelia	Jessica Tandy	Director:John Gielgud
28 March 1969	5th July 2000	Juliet	Alexandra Gilbreath	Director:Michael Boyd
29 December 1946	unknown opening	Ophelia	Marianne Faithfull	Director:Tony Richardson
27 January 1965	18th September 1993	Hamlet	Alan Cumming	Director:Stephen Unwin
7 August 1951	14th August 1980	Desdemona	Suzanne Bertish	Director:Ronald Eyre
1963	25th February 1985	Juliet	Amanda Root	Director:John Caird
November 13, 1946	9th September 2006	Lady Macbeth	Eleanor Montgomery	Director:Gareth Machin
person not found on wiki	18th July 1924	Ophelia	Ethel Carrington	Director:W Bridges-Adams
20 October 1959	21st February 1987	Juliet	Niamh Cusack	Director:Michael Bogdanov
27 January 1965	18th September 1993	Hamlet	Alan Cumming	Director:Stephen Unwin
person not found on wiki	2nd May 1941	Romeo	Godfrey Kenton	Director:B Iden Payne
7 September 1913	25th November 1952	Othello	Anthony Quayle	Director:Anthony Quayle
person not found on wiki	8th March 1929	Iago	Julian D’Albie	Director:H K Ayliff
30 June 1950	unknown opening	Romeo	Leonard Whiting	Director:Franco Zeffirelli
no birthday on article	24th November 1984	Macbeth	Louis Mellis	Director:unknown
April 23, 1969	18th July 1924	Hamlet	Arthur Phillips	Director:W Bridges-Adams
8 November 1974	8th October 2004	Romeo	Matthew Rhys	Director:Peter Gill
14 September 1936	unknown opening	Hamlet	Nicol Williamson	Director:Tony Richardson
18 June 1951	24th November 1984	Lady Macbeth	Michelle Newell	Director:unknown
1 August 1904	8th March 1929	Desdemona	Daphne Heard	Director:H K Ayliff
person not found on wiki	27th April 1912	Romeo	Murray Carrington	Director:F R Benson
13 February 1912	2nd May 1941	Juliet	Margaretta Scott	Director:B Iden Payne
no birthday on article	8th March 1929	Othello	Scott Sunderland	Director:H K Ayliff
no birthday on article	27th April 1912	Juliet	Dorothy Green	Director:F R Benson
9 October 1923	14th August 1980	Othello	Donald Sinden	Director:Ronald Eyre
12 October 1937	6th March 1967	Romeo	Gawn Grainger	Director:Val May
no birthday on article	25th October 2008	Romeo	David Dawson	Director:Neil Bartlett
no birthday on article	25th October 2008	Romeo	David Dawson	Director:Neil Bartlett
17 April 1951	unknown opening	Juliet	Olivia Hussey	Director:Franco Zeffirelli
no birthday on article	unknown opening	Macbeth	Paul Higgins	Director:Stephen Unwin
14 February 1952	9th October 1981	Romeo	Anton Lesser	Director:Ron Daniels
person not found on wiki	25th October 2008	Juliet	Anneika Rose	Director:Neil Bartlett
person not found on wiki	25th October 2008	Juliet	Anneika Rose	Director:Neil Bartlett
person not found on wiki	unknown opening	Lady Macbeth	Hilary Lyon	Director:Stephen Unwin
no birthday on article	23rd April 1930	Iago	George Hayes	Director:W Bridges-Adams
1949	9th October 1981	Juliet	Judy Buxton	Director:Ron Daniels
2 June 1932	27th November 1956	Iago	Alan Dobie	Director:John Moody
1 June 1947	11th November 1986	Macbeth	Jonathan Pryce	Director:Adrian Noble
26 February 1976	unknown opening	Juliet	Michelle Hardwick	Director:unknown
no birthday on article	8th October 2004	Juliet	Sian Brooke	Director:Peter Gill
10 May 1906	23rd April 1930	Desdemona	Joyce Bland	Director:W Bridges-Adams
25 September 1946	14th March 1980	Desdemona	Felicity Kendal	Director:Peter Hall
person not found on wiki	18th September 1993	Ophelia	Hilary Lyon	Director:Stephen Unwin
person not found on wiki	23rd April 1930	Othello	Wilfrid Walter	Director:W Bridges-Adams
21 February 1940	5th June 1976	Romeo	Peter McEnery	Director:George Murcell
5 April 1946	6th March 1967	Juliet	Jane Asher	Director:Val May
person not found on wiki	9th March 1996	Juliet	Lucy Whybrow	Director:Adrian Noble
18 February 1948	11th November 1986	Lady Macbeth	Sinead Cusack	Director:Adrian Noble
no birthday on article	20th June 1933	Romeo	John Wyse	Director:W Bridges-Adams
30 March 1943	5th June 1976	Juliet	Sarah Badel	Director:George Murcell
3 October 1893	14th April 1942	Macbeth	George Skillan	Director:B Iden Payne
person not found on wiki	16th March 1954	Iago	Raymond Westwell	Director:Anthony Quayle
July 18, 1964	27th November 1956	Desdemona	Wendy Williams	Director:John Moody
28 May 1910	20th June 1933	Juliet	Rachel Kempson	Director:W Bridges-Adams
person not found on wiki	27th November 1956	Othello	Joseph O Conor	Director:John Moody
1 October 1928	27th April 1954	Romeo	Laurence Harvey	Director:Glen Byam Shaw
no birthday on article	16th August 1979	Romeo	Michael Thomas	Director:Christopher Selbie
26 July 1930	16th March 1954	Desdemona	Barbara Jefford	Director:Anthony Quayle
person not found on wiki	18th April 1922	Iago	Baliol Holloway	Director:W Bridges-Adams
13 February 1912	14th April 1942	Lady Macbeth	Margaretta Scott	Director:B Iden Payne
person not found on wiki	18th April 1922	Desdemona	Ethel Carrington	Director:W Bridges-Adams
16 May 1954	16th August 1979	Juliet	Janet Maw	Director:Christopher Selbie
7 March 1934	27th April 1954	Juliet	Zena Walker	Director:Glen Byam Shaw
person not found on wiki	unknown opening	Macbeth	Anthony Boden	Director:Paul Webster
person not found on wiki	unknown opening	Macbeth	Antony Byrne	Director:Edward Kemp
27 January 1965	18th September 1993	Hamlet	Alan Cumming	Director:Stephen Unwin
person not found on wiki	unknown opening	Lady Macbeth	Jennifer Piercey	Director:Paul Webster
5 May 1906	19th July 1927	Ophelia	Lydia Sherwood	Director:W Bridges-Adams
March 5, 1882	18th April 1922	Othello	William Stack	Director:W Bridges-Adams
7 September 1913	16th March 1954	Othello	Anthony Quayle	Director:Anthony Quayle
22 May 1907	unknown opening	Othello	Laurence Olivier	Director:John Dexter
21 January 1922	14th March 1980	Othello	Paul Scofield	Director:Peter Hall
3 April 1963	unknown opening	Lady Macbeth	Sarah Woodward	Director:Edward Kemp
19 June 1957	24th June 1992	Romeo	Michael Maloney	Director:David Leveaux
29 June 1928	10th October 1961	Iago	Ian Bannen	Director:Franco Zeffirelli
25 March 1897	19th July 1927	Hamlet	John Laurie	Director:W Bridges-Adams
10 December 1960	22nd June 2014	Macbeth	Kenneth Branagh	Director:Kenneth Branagh
12 January 1964	24th June 1992	Juliet	Clare Holman	Director:David Leveaux
20 October 1934	8th October 1994	Macbeth	Timothy West	Director:Helena Kaut-Howson
no birthday on article	21st April 1989	Iago	Paul Barber	Director:Hugh Quarshie
25 May 1939	26th March 1977	Romeo	Ian McKellen	Director:Trevor Nunn
person not found on wiki	4th April 1927	Iago	Ion Swinley	Director:A.E. Filmer
11 October 1965	unknown opening	Macbeth	Lennie James	Director:Nicolas Kent
person not found on wiki	8th October 1994	Lady Macbeth	Alexandra Mathie	Director:Helena Kaut-Howson
no birthday on article	21st April 1989	Desdemona	Emily Morgan	Director:Hugh Quarshie
8 April 1930	10th October 1961	Desdemona	Dorothy Tutin	Director:Franco Zeffirelli
December 6, 1904	4th April 1927	Desdemona	Elissa Landi	Director:A.E. Filmer
22 December 1907	17th October 1935	Juliet	Peggy Ashcroft	Director:John Gielgud
11 March 1963	22nd June 2014	Lady Macbeth	Alex Kingston	Director:Kenneth Branagh
1 December 1926	29th February 1976	Iago	Keith Michell	Director:Peter Dews
14 January 1876	4th April 1927	Othello	Robert Loraine	Director:A.E. Filmer
14 May 1945	26th March 1977	Juliet	Francesca Annis	Director:Trevor Nunn
no birthday on article	7th August 1912	Iago	Henry Herbert	Director:F R Benson
25 January 1891	13th May 1926	Ophelia	Gwen Ffrangcon-Davies	Director:unknown
17 August 1968	unknown opening	Lady Macbeth	Helen McCrory	Director:Nicolas Kent
April 7, 1952	21st April 1989	Othello	Clarke Peters	Director:Hugh Quarshie
no birthday on article	29th February 1976	Othello	Topol	Director:Peter Dews
no birthday on article	25th April 1930	Romeo	George Hayes	Director:W Bridges-Adams
26 February 1864	25th April 1896	Ophelia	Constance Benson	Director:F R Benson
no birthday on article	7th August 1912	Desdemona	Dorothy Green	Director:F R Benson
8 October 1896	13th May 1926	Hamlet	Colin Keith-Johnston	Director:unknown
person not found on wiki	25th April 1896	Hamlet	F R Benson	Director:F R Benson
person not found on wiki	7th August 1912	Othello	F R Benson	Director:F R Benson
10 May 1906	25th April 1930	Juliet	Joyce Bland	Director:W Bridges-Adams
12 October 1937	6th March 1967	Romeo	Gawn Grainger	Director:Val May
person not found on wiki	25th April 1912	Ophelia	Ethel McDowall	Director:F R Benson
no birthday on article	11th April 1944	Macbeth	George Hayes	Director:Robert Atkins
person not found on wiki	25th April 1912	Hamlet	F R Benson	Director:F R Benson
no birthday on article	5th November 1997	Romeo	Ray Fearon	Director:Michael Attenborough
15 October 1920	11th April 1944	Lady Macbeth	Patricia Jessel	Director:Robert Atkins
29 April 1957	10th October 1983	Romeo	Daniel Day-Lewis	Director:John Caird
26 May 1923	11th February 1978	Iago	Roy Dotrice	Director:Peter Dews
14 July 1931	unknown opening	Othello	Robert Stephens	Director:Mervyn Willis
person not found on wiki	5th November 1997	Juliet	Zoe Waites	Director:Michael Attenborough
no birthday on article	17th June 1949	Iago	John Slater	Director:Godfrey Tearle
person not found on wiki	24th April 1897	Romeo	F R Benson	Director:F R Benson
5 April 1946	6th March 1967	Juliet	Jane Asher	Director:Val May
26 February 1864	24th April 1897	Juliet	Constance Benson	Director:F R Benson
22 January 1936	11th February 1978	Desdemona	Nyree Dawn Porter	Director:Peter Dews
6 August 1926	unknown opening	Iago	Frank Finlay	Director:John Dexter
no birthday on article	16th April 1926	Romeo	Sebastian Shaw	Director:W Bridges-Adams
person not found on wiki	15th April 1902	Iago	Frank Rodney	Director:F R Benson
16 January 1906	17th June 1949	Desdemona	Diana Wynyard	Director:Godfrey Tearle
1963	10th October 1983	Juliet	Amanda Root	Director:John Caird
26 February 1864	15th April 1902	Desdemona	Constance Benson	Director:F R Benson
no birthday on article	unknown opening	Macbeth	Edward York	Director:Rob Swain
12 October 1884	17th June 1949	Othello	Godfrey Tearle	Director:Godfrey Tearle
person not found on wiki	15th April 1902	Othello	F R Benson	Director:F R Benson
1 December 1926	11th February 1978	Othello	Keith Michell	Director:Peter Dews
person not found on wiki	unknown opening	Lady Macbeth	Shelley Willetts	Director:Rob Swain
person not found on wiki	18th November 2017	Macbeth	Henry Proffit	Director:Paul Tomlinson
person not found on wiki	24th April 1911	Iago	Herbert Grimwood	Director:Oscar Asche
23 August 1945	8th March 1983	Macbeth	Bob Peck	Director:Howard Davies
14 April 1904	10th October 1961	Othello	John Gielgud	Director:Franco Zeffirelli
23 June 1876	24th April 1911	Desdemona	Lily Brayton	Director:Oscar Asche
25 May 1939	21st June 2007	King Lear	Ian McKellen	Director:Trevor Nunn
18 January 1960	unknown opening	Macbeth	Mark Rylance	Director:Mark Rylance
12 May 1944	8th March 1983	Lady Macbeth	Sara Kestelman	Director:Howard Davies
22 May 1907	9th May 1940	Romeo	Laurence Olivier	Director:Laurence Olivier
person not found on wiki	17th April 1902	Romeo	F R Benson	Director:F R Benson
26 January 1871	24th April 1911	Othello	Oscar Asche	Director:Oscar Asche
21 January 1922	16th August 1967	Macbeth	Paul Scofield	Director:Peter Hall
26 February 1864	17th April 1902	Juliet	Constance Benson	Director:F R Benson
no birthday on article	13th April 1996	Romeo	Tom Bevan	Director:Zoe Seaton
person not found on wiki	13th April 1996	Juliet	Kirsten Parker	Director:Zoe Seaton
21 April 1979	27th April 2013	Macbeth	James McAvoy	Director:Jamie Lloyd
27 April 1974	unknown opening	Macbeth	Joseph Millson	Director:Eve Best
4 September 1947	unknown opening	Macbeth	Jeffery Kissoon	Director:Bill Alexander
18 January 1964	unknown opening	Lady Macbeth	Jane Horrocks	Director:Mark Rylance
22 July 1929	16th August 1967	Lady Macbeth	Vivien Merchant	Director:Peter Hall
person not found on wiki	28th April 1897	Iago	Frank Rodney	Director:F R Benson
17 April 1959	8th April 1986	Romeo	Sean Bean	Director:Michael Bogdanov
20 June 1968	unknown opening	Lady Macbeth	Samantha Spiro	Director:Eve Best
26 February 1864	28th April 1897	Desdemona	Constance Benson	Director:F R Benson
2 October 1968	unknown opening	Lady Macbeth	Lucy Cohu	Director:Bill Alexander
16 April 1984	27th April 2013	Lady Macbeth	Claire Foy	Director:Jamie Lloyd
person not found on wiki	28th April 1897	Othello	F R Benson	Director:F R Benson
person not found on wiki	11th May 1905	Iago	Arthur Whitby	Director:F R Benson
28 December 1934	unknown opening	Desdemona	Maggie Smith	Director:John Dexter
26 February 1864	11th May 1905	Desdemona	Constance Benson	Director:F R Benson
1970	5th April 1995	Romeo	Zubin Varla	Director:Adrian Noble
no birthday on article	9th May 1940	Juliet	Vivien Leigh	Director:Laurence Olivier
20 October 1959	8th April 1986	Juliet	Niamh Cusack	Director:Michael Bogdanov
person not found on wiki	11th May 1905	Othello	F R Benson	Director:F R Benson
person not found on wiki	5th April 1995	Juliet	Lucy Whybrow	Director:Adrian Noble
person not found on wiki	20th November 1954	Iago	David Dodimead	Director:Stuart Burge
no birthday on article	unknown opening	Romeo	Matthew Lewis	Director:Simon Parry
no birthday on article	8th April 1958	Romeo	Richard Johnson	Director:Glen Byam Shaw
person not found on wiki	unknown opening	Macbeth	Danny Edge	Director:unknown
person not found on wiki	20th November 1954	Desdemona	Rosemary Webster	Director:Stuart Burge
24 May 1953	26th November 1983	Macbeth	Alfred Molina	Director:Chris Bond
person not found on wiki	unknown opening	Lady Macbeth	James Tudor	Director:unknown
30 August 1922	20th November 1954	Othello	Brewster Mason	Director:Stuart Burge
no birthday on article	unknown opening	Juliet	Joanne Mitchell	Director:Simon Parry
no birthday on article	26th November 1983	Lady Macbeth	Noreen Kershaw	Director:Chris Bond
9 August 1869	20th April 1925	Macbeth	Randle Ayrton	Director:W Bridges-Adams
8 April 1930	8th April 1958	Juliet	Dorothy Tutin	Director:Glen Byam Shaw
no birthday on article	11th April 1938	Macbeth	James Dale	Director:B Iden Payne
person not found on wiki	20th April 1925	Lady Macbeth	Florence Saunders	Director:W Bridges-Adams
no birthday on article	1st May 1984	Romeo	Simon Templeman	Director:John Caird
1 September 1928	18th July 1972	Iago	Emrys James	Director:John Barton
26 November 1905	29th May 1956	Iago	Emlyn Williams	Director:Glen Byam Shaw
14 February 1952	23rd February 1981	Romeo	Anton Lesser	Director:Ron Daniels
22 May 1907	unknown opening	Iago	Laurence Olivier	Director:Tyrone Guthrie
1963	1st May 1984	Juliet	Amanda Root	Director:John Caird
25 August 1943	18th July 1972	Desdemona	Lisa Harrow	Director:John Barton
1949	23rd February 1981	Juliet	Judy Buxton	Director:Ron Daniels
no birthday on article	unknown opening	Macbeth	Robert Beck	Director:unknown
14 April 1904	8th July 1942	Macbeth	John Gielgud	Director:John Gielgud
17 May 1912	11th April 1939	Iago	Alec Clunes	Director:Robert Atkins
1 December 1926	6th May 1978	Othello	Keith Michell	Director:Peter Dews
30 August 1922	18th July 1972	Othello	Brewster Mason	Director:John Barton
15 October 1892	11th April 1938	Lady Macbeth	Phyllis Neilson-Terry	Director:B Iden Payne
25 May 1939	29th March 1976	Romeo	Ian McKellen	Director:Trevor Nunn
10 May 1906	11th April 1939	Desdemona	Joyce Bland	Director:Robert Atkins
25 January 1891	8th July 1942	Lady Macbeth	Gwen Ffrangcon-Davies	Director:John Gielgud
30 September 1947	unknown opening	Lady Macbeth	Rula Lenska	Director:unknown
no birthday on article	unknown opening	Romeo	Joe Shaw	Director:Antony Tuckey
no birthday on article	6th January 2000	Iago	Richard McCabe	Director:Michael Attenborough
no birthday on article	6th May 2000	Iago	Richard McCabe	Director:Michael Attenborough
no birthday on article	unknown opening	Macbeth	Duncan Bell	Director:Philip Franks
person not found on wiki	6th January 2000	Desdemona	Zoe Waites	Director:Michael Attenborough
23 August 1945	6th August 1979	Iago	Bob Peck	Director:Ronald Eyre
person not found on wiki	6th May 2000	Desdemona	Zoe Waites	Director:Michael Attenborough
12 April 1969	unknown opening	Juliet	Emily Joyce	Director:Antony Tuckey
person not found on wiki	unknown opening	Lady Macbeth	Siobhan Stanley	Director:Philip Franks
14 May 1945	29th March 1976	Juliet	Francesca Annis	Director:Trevor Nunn
25 March 1897	11th April 1939	Othello	John Laurie	Director:Robert Atkins
no birthday on article	6th January 2000	Othello	Ray Fearon	Director:Michael Attenborough
no birthday on article	5th July 1929	Romeo	George Hayes	Director:W Bridges-Adams
7 August 1951	6th August 1979	Desdemona	Suzanne Bertish	Director:Ronald Eyre
no birthday on article	6th May 2000	Othello	Ray Fearon	Director:Michael Attenborough
person not found on wiki	24th April 1882	Romeo	F W Wyndham	Director:Edward Compton
person not found on wiki	23rd April 1888	Romeo	F R Benson	Director:F R Benson
person not found on wiki	21st April 1885	Romeo	Felix Pitt	Director:Charles Bernard
person not found on wiki	24th April 1882	Juliet	Virginia Bateman	Director:Edward Compton
23 August 1945	31st March 1982	Macbeth	Bob Peck	Director:Howard Davies
10 May 1906	5th July 1929	Juliet	Joyce Bland	Director:W Bridges-Adams
26 February 1864	23rd April 1888	Juliet	Constance Benson	Director:F R Benson
no birthday on article	15th August 1961	Romeo	Brian Murray	Director:Peter Hall
person not found on wiki	21st April 1885	Juliet	Miss Alleyn	Director:Charles Bernard
19 December 1902	unknown opening	Othello	Ralph Richardson	Director:Tyrone Guthrie
1970	23rd April 1996	Romeo	Zubin Varla	Director:Adrian Noble
person not found on wiki	unknown opening	Macbeth	Danny Edge	Director:unknown
22 May 1907	unknown opening	Macbeth	Laurence Olivier	Director:Michel St Denis
no birthday on article	31st July 1916	Iago	Robert Atkins	Director:Ben Greet
22 May 1907	unknown opening	Othello	Laurence Olivier	Director:John Dexter
person not found on wiki	23rd April 1996	Juliet	Lucy Whybrow	Director:Adrian Noble
person not found on wiki	unknown opening	Lady Macbeth	James Tudor	Director:unknown
12 May 1944	31st March 1982	Lady Macbeth	Sara Kestelman	Director:Howard Davies
no birthday on article	1st December 1982	Macbeth	Christopher Martin	Director:unknown
8 April 1930	15th August 1961	Juliet	Dorothy Tutin	Director:Peter Hall
1 September 1928	3rd March 1972	Iago	Emrys James	Director:John Barton
9 October 1923	6th August 1979	Othello	Donald Sinden	Director:Ronald Eyre
28 April 1954	1st December 1982	Lady Macbeth	Mary Jo Randle	Director:unknown
16 July 1939	20th November 2004	King Lear	Corin Redgrave	Director:Bill Alexander
31 December 1828	31st July 1916	Desdemona	Mary Sumner	Director:Ben Greet
no birthday on article	14th March 1980	Iago	Michael Bryant	Director:Peter Hall
23 August 1945	26th February 1980	Iago	Bob Peck	Director:Ronald Eyre
28 March 1866	31st July 1916	Othello	Jerrold Robertshaw	Director:Ben Greet
21 March 1946	28th March 1973	Romeo	Timothy Dalton	Director:Terry Hands
25 August 1943	3rd March 1972	Desdemona	Lisa Harrow	Director:John Barton
3 October 1893	3rd April 1945	Othello	George Skillan	Director:Robert Atkins
no birthday on article	10th July 1930	Romeo	George Hayes	Director:W Bridges-Adams
28 March 1940	28th March 1973	Juliet	Estelle Kohler	Director:Terry Hands
10 February 1897	unknown opening	Lady Macbeth	Judith Anderson	Director:Michel St Denis
7 September 1913	30th July 1948	Iago	Anthony Quayle	Director:Godfrey Tearle
person not found on wiki	16th February 1991	Fool	Linda Kerr Scott	Director:Nicholas Hytner
no birthday on article	20th November 1999	Iago	Richard McCabe	Director:Michael Attenborough
30 August 1922	3rd March 1972	Othello	Brewster Mason	Director:John Barton
